web;mail;sector/type;;
www.eur.nl;eur.nl;WO;;
www.ou.nl;ou.nl;WO;;
www.ru.nl;;WO;;
;;;;
www.kabk.nl;kabk.nl;HO;;
www.marnixacademie.nl;marnixacademie.nl;HO;;
www.nhtv.nl;nhtv.nl;HO;;
www.nhl.nl;nhl.nl;HO;;
www.amc.nl;amc.nl;UMC;;
www.amphia.nl;amphia.nl;Overig;;
www.mumc.nl;mumc.nl;UMC;;
www.erasmusmc.nl;erasmusmc.nl;UMC;;
www.vumc.nl;vumc.nl;UMC;;
;;;;
www.maastro.nl;maastro.nl;Overig;;
www.mmc.nl;mmc.nl;Overig;;
;;;;
www.springer.com;springer.com;Research+;;
www.sron.nl;sron.nl;Research+;;
www.lofar.org;lofar.org;Research+;;
www.swov.nl;swov.nl;Research+;;
www.tno.nl;tno.nl;Research+;;
www.trimbos.nl;trimbos.nl;Research+;;
;;;;
;;;;
www.landstedembo.nl;landstede.nl;MBO;;
stc-group.nl;stc-group.nl;MBO;;
www.summacollege.nl;summacollege.nl;MBO;;
www.wellant.nl;wellant.nl;MBO;;
;;;;
www.bibliotheekutrecht.nl;bibliotheekutrecht.nl;Overig;;
www.kb.nl;kb.nl;Research+;;
www.nbdbiblion.nl;nbdbiblion.nl;Overig;;
www.oclc.org;oclc.org;Overig;;
www.oba.nl;oba.nl;Overig;;
www.surf.nl;surf.nl;Overig;;
www.surfmarket.nl;surfmarket.nl;Overig;;
www.surfnet.nl;surfnet.nl;Overig;;
www.surfsara.nl;surfsara.nl;Overig;;
